py,APPROACHES_FROM_100_125_YARDS,APPROACHES_FROM_100_125_YARDS_RGH,APPROACHES_FROM_125_150_YARDS,APPROACHES_FROM_125_150_YARDS_RGH,APPROACHES_FROM_150_175_YARDS,APPROACHES_FROM_150_175_YARDS_RGH,APPROACHES_FROM_175_200_YARDS,APPROACHES_FROM_175_200_YARDS_RGH,APPROACHES_FROM_200_225_YARDS,APPROACHES_FROM_200_225_YARDS_RGH,APPROACHES_FROM_225_250_YARDS,APPROACHES_FROM_225_250_YARDS_RGH,APPROACHES_FROM_250_275_YARDS,APPROACHES_FROM_250_275_YARDS_RGH,APPROACHES_FROM_INSIDE_100_YARDS,APPROACHES_FROM_INSIDE_100_YARDS_RGH,BIRDIE_AVE,BIRDIE_OR_BETTER_CONVESION_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE_FAIRWAY,BIRDIE_OR_BETTER_PERCENTAGE_ROUGH,BOUNCE_BACK,CLUB_HEAD_SPEED,DRIVING_ACCURACY_PERCENTAGE,DRIVING_DISTANCE,EAGLES_HOLES_PER,FAIRWAY_PROXIMITY,FEDEX_REGULAR_SEASON_POINTS,FINAL_ROUND_PERFORMANCE,GREENS_IN_REGULATION_PERCENTAGE,PAR_3_SCORING_AVERAGE,PAR_4_SCORING_AVERAGE,PAR_5_SCORING_AVERAGE,PUTTING_FROM_10_15ft,PUTTING_FROM_15_20ft,PUTTING_FROM_20_25ft,PUTTING_FROM_25ft_plus,PUTTING_INSIDE_10ft,PUTTS_PER_ROUND,ROUGH_PROXIMITY,SAND_SAVE_PERCENTAGE,PLAYER,SEASON_CURRENT,PERCENTAGE_OF_WINNING_PTS,SEASON_NEXT,NEXT_PERCENTAGE_OF_WINNING_PTS
2010_Aaron Baddeley,244,464,305,399,372,522,432,629,588,634,643,943,761,864,187,280,3.76,31.65,21.63,21.44,21.25,27.72,119.95,56.65,298.9,130.2,401,481,60.0,64.6,3.08,4.01,4.69,31.22,21.69,16.1,5.96,88.06,28.57,537,54.82,Aaron Baddeley,2010,0.2605633802816901,2011,0.6196222455403987
2010_Adam Scott,192,300,247,468,304,437,349,581,459,563,658,638,680,783,195,430,3.63,29.52,21.08,22.86,15.71,21.94,118.42,62.93,294.4,111.3,367,940,60.0,69.61,3.06,4.03,4.67,25.68,23.0,16.67,6.28,83.05,30.07,494,53.04,Adam Scott,2010,0.5092091007583965,2011,0.6988457502623295
2010_Alex Cejka,210,338,264,319,328,478,388,713,444,632,590,604,802,1221,207,306,3.28,26.41,18.72,20.64,14.13,19.92,107.76,70.31,277.4,208.3,367,489,50.0,66.6,3.08,4.06,4.76,26.49,12.21,12.38,4.58,85.18,29.7,500,44.17,Alex Cejka,2010,0.2648970747562297,2011,0.1589716684155299
2010_Alex Prugh,239,410,279,394,360,512,411,632,528,748,682,768,802,906,193,314,3.7,30.25,21.21,22.31,14.58,19.67,117.2,58.4,295.7,158.4,379,526,26.67,68.6,3.05,4.03,4.66,27.73,17.54,10.71,4.5,88.51,29.47,498,52.0,Alex Prugh,2010,0.28494041170097506,2011,0.10965372507869885
2010_Andres Romero,295,385,278,392,331,497,393,515,417,835,567,818,711,998,234,320,3.51,28.91,20.24,21.3,14.62,20.0,116.56,55.05,296.0,131.4,378,418,60.0,65.07,3.06,4.02,4.74,30.33,16.11,16.33,7.69,87.93,28.93,494,47.46,Andres Romero,2010,0.22643553629469124,2011,0.3415529905561385
2010_Aron Price,229,352,269,527,321,507,387,614,441,849,488,402,781,896,208,274,3.7,29.1,20.95,23.93,10.05,25.0,107.64,67.23,284.6,252.0,361,358,38.46,70.49,2.96,4.04,4.65,23.46,23.21,11.96,5.46,86.94,29.69,546,57.61,Aron Price,2010,0.19393282773564463,2011,0.14270724029380902
2010_Ben Crane,259,413,277,460,347,487,375,539,490,601,589,625,868,976,179,239,3.79,29.94,21.61,22.76,19.8,23.81,108.96,71.13,282.3,184.5,376,1304,88.89,68.22,3.07,4.0,4.67,36.13,26.72,17.65,6.29,86.44,29.07,466,52.7,Ben Crane,2010,0.7063921993499458,2011,0.2759706190975866
2010_Ben Curtis,211,368,266,403,320,457,425,674,521,793,666,910,907,1230,224,227,3.08,24.5,17.24,19.75,9.18,17.65,108.42,70.07,275.5,702.0,374,416,57.14,68.02,3.07,4.04,4.73,36.14,15.38,10.48,4.29,88.18,29.6,529,54.87,Ben Curtis,2010,0.22535211267605634,2011,0.15949632738719832
2010_Bill Haas,204,399,269,421,385,440,395,598,472,613,631,768,952,816,187,275,3.71,29.21,21.2,22.87,17.81,17.04,118.55,64.17,293.3,174.0,381,1025,44.44,69.92,3.03,4.02,4.59,30.91,18.25,9.8,4.76,87.19,29.48,486,44.52,Bill Haas,2010,0.5552546045503792,2011,0.667890870933893
2010_Bill Lunde,294,307,291,397,346,512,400,721,482,772,573,736,857,801,220,268,3.13,25.93,18.0,18.11,16.53,20.81,111.15,60.71,288.9,158.0,387,449,60.0,65.85,3.03,4.08,4.74,32.69,15.67,13.21,6.23,86.51,29.77,498,48.6,Bill Lunde,2010,0.24322860238353197,2011,0.22455403987408185
2010_Billy Mayfair,251,359,272,473,324,511,396,619,500,724,611,949,651,990,186,250,3.19,25.03,18.38,18.78,17.55,22.22,109.48,70.29,284.0,156.0,372,314,69.23,69.68,3.12,4.02,4.74,24.24,18.71,3.61,4.86,83.35,30.5,514,50.0,Billy Mayfair,2010,0.17009750812567714,2011,0.1852046169989507
2010_Blake Adams,260,400,325,456,383,553,417,612,507,831,653,919,822,785,212,282,3.51,28.44,19.91,21.25,14.98,20.09,115.31,66.84,291.3,252.0,392,514,60.0,66.73,3.08,4.03,4.73,28.72,18.12,10.16,8.33,88.73,29.2,517,46.4,Blake Adams,2010,0.27843986998916576,2011,0.323189926547744
2010_Bo Van Pelt,246,366,287,427,333,536,392,536,465,695,617,777,775,1101,244,301,3.86,30.4,21.74,23.81,14.8,20.0,114.68,65.23,292.0,312.0,376,1272,65.22,69.23,3.06,3.99,4.61,37.6,19.01,15.56,5.0,86.1,29.31,499,54.74,Bo Van Pelt,2010,0.6890574214517876,2011,0.46222455403987406
2010_Boo Weekley,251,386,293,412,313,519,386,641,476,710,526,677,870,1242,164,383,3.34,25.72,19.07,21.12,10.29,20.09,115.52,67.14,291.9,198.0,356,526,37.5,70.07,3.05,4.02,4.7,27.37,13.16,8.06,9.54,85.96,29.95,524,45.6,Boo Weekley,2010,0.28494041170097506,2011,0.11699895068205667
2010_Brandt Snedeker,244,325,248,426,317,522,390,604,504,750,556,741,833,739,180,275,3.82,32.73,21.66,23.43,14.74,23.83,108.16,64.27,277.1,228.9,361,813,38.89,62.36,3.03,4.02,4.65,34.65,20.5,15.74,3.75,88.17,27.97,500,59.18,Brandt Snedeker,2010,0.44041170097508126,2011,0.6437565582371458
2010_Brendon de Jonge,202,376,247,440,310,479,374,601,464,696,602,787,756,1034,194,280,3.76,29.31,21.44,23.56,13.24,19.86,113.4,65.51,286.9,186.5,345,1035,41.67,70.07,3.02,4.0,4.65,26.37,21.35,10.34,6.01,87.32,29.51,518,48.81,Brendon de Jonge,2010,0.5606717226435536,2011,0.41133263378803775
2010_Brian Davis,219,358,269,408,328,488,393,616,524,740,643,736,900,976,200,314,3.26,27.69,18.43,20.67,13.19,20.14,108.13,68.35,278.9,303.0,381,781,55.56,63.09,3.04,4.06,4.73,34.25,17.86,9.23,5.34,85.54,28.87,497,54.21,Brian Davis,2010,0.4230769230769231,2011,0.35939139559286465
2010_Brian Gay,202,321,250,412,317,525,413,689,485,854,609,1376,914,1179,175,323,3.41,29.12,19.16,20.23,13.73,18.14,103.04,74.0,266.4,441.0,359,714,57.89,63.44,3.04,4.01,4.72,34.18,16.56,13.68,6.97,89.83,28.02,540,59.26,Brian Gay,2010,0.38678223185265437,2011,0.35939139559286465
2010_Briny Baird,227,381,281,488,330,503,378,592,478,793,549,436,740,907,206,294,3.24,24.64,18.33,20.05,10.39,18.84,109.91,65.45,282.0,313.2,358,458,60.0,69.41,3.02,4.03,4.64,30.67,16.13,8.2,3.7,88.3,29.65,528,60.0,Briny Baird,2010,0.24810400866738894,2011,0.1353620146904512
2010_Bryce Molder,213,407,291,448,329,564,394,558,575,742,699,707,849,1265,172,297,3.67,28.68,20.63,21.48,14.46,15.81,109.63,63.16,278.0,378.0,374,748,62.5,65.28,3.05,3.99,4.74,34.95,19.85,20.18,6.02,87.14,28.69,532,54.01,Bryce Molder,2010,0.40520043336944744,2011,0.2586568730325289
